Marca,Modelo,Slogan,Tipo,Categoria,IVA Incluido,Version,Motor,Combustible,Transmision,Potencia,Torque,Traccion,Rendimiento,Autonomia,Puertas,Asientos,Airbags,Precio Lista,Bono Marca,Bono Financiamiento,Precio Final
Audi,Q6 Sportback e-tron,Transforma la energía en entusiasmo. This is Audi.,liviano,"SUV, Eléctrico",SÍ,Q6 Sportback e-tron 55 S line quattro,Motores Eléctricos,Eléctrico,Automática,388 HP,650 Nm,AWD,18.5 kWh/100km,657 km,,,,95490000,1090000,1150000,93250000
Audi,Q7,Todo terreno con carácter.,liviano,SUV,SÍ,Q7 PI 55 TFSI (7P),3.0 TFSI,Gasolina,Automática,340 HP,500 Nm,AWD,9.8 l/100km,,,7,,85600000,6700000,2950000,75950000
Audi,Q7,Todo terreno con carácter.,liviano,SUV,SÍ,Q7 PI 55 TFSI S line (7P),3.0 TFSI,Gasolina,Automática,340 HP,500 Nm,AWD,9.8 l/100km,,,7,,104600000,7700000,2950000,93950000
Audi,SQ7,Rendimiento con personalidad.,liviano,SUV,SÍ,SQ7 (7P),4.0 TFSI,Gasolina,Automática,507 HP,770 Nm,AWD,11.8 l/100km,,,7,,134600000,7200000,2950000,124450000
Audi,Q7,Todo terreno con carácter.,liviano,SUV,SÍ,Q7 PI 55 TFSI (7P) - MY26,3.0 TFSI,Gasolina,Automática,340 HP,500 Nm,AWD,9.8 l/100km,,,7,,90600000,6700000,2950000,80950000
Audi,Q7,Todo terreno con carácter.,liviano,SUV,SÍ,Q7 PI 55 TFSI S line (7P) - MY26,3.0 TFSI,Gasolina,Automática,340 HP,500 Nm,AWD,9.8 l/100km,,,7,,109600000,7700000,2950000,98950000
Audi,Q8,Un carácter fuerte de forma elegante.,liviano,SUV,SÍ,Q8 55 TFSI,3.0 TFSI,Gasolina,Automática,340 HP,500 Nm,AWD,10.5 l/100km,,,,,92600000,7200000,2950000,82450000
Audi,Q8,Un carácter fuerte de forma elegante.,liviano,SUV,SÍ,Q8 55 TFSI S line,3.0 TFSI,Gasolina,Automática,340 HP,500 Nm,AWD,10.5 l/100km,,,,,105600000,9200000,2950000,93450000
Audi,SQ8,Potente rendimiento.,liviano,SUV,SÍ,SQ8,4.0 TFSI,Gasolina,Automática,507 HP,770 Nm,AWD,12.2 l/100km,,,,,137600000,7200000,2950000,127450000
Audi,RS Q8 performance,El rendimiento se une a la elegancia.,liviano,SUV,SÍ,RSQ8 Performance,4.0 TFSI,Gasolina,Automática,640 HP,850 Nm,AWD,13.5 l/100km,,,,,199400000,0,1150000,198250000
Audi,Q8,Un carácter fuerte de forma elegante.,liviano,SUV,SÍ,Q8 55 TFSI - MY26,3.0 TFSI,Gasolina,Automática,340 HP,500 Nm,AWD,10.5 l/100km,,,,,97600000,7200000,2950000,87450000
Audi,Q8,Un carácter fuerte de forma elegante.,liviano,SUV,SÍ,Q8 55 TFSI S line - MY26,3.0 TFSI,Gasolina,Automática,340 HP,500 Nm,AWD,10.5 l/100km,,,,,110600000,9200000,2950000,98450000
Cupra,Formentor,Nacido para Desafiar.,liviano,SUV,SÍ,Formentor 2.0 TSI 204hp 4Drive,2.0 TSI,Gasolina,DCT / DSG,204 HP,320 Nm,AWD,10.4 km/l,,,,,36990000,1300000,2200000,33490000
Cupra,Formentor,Nacido para Desafiar.,liviano,SUV,SÍ,Formentor VZ 2.0 TSI AT 4Drive,2.0 TSI,Gasolina,DCT / DSG,333 HP,420 Nm,AWD,9.5 km/l,,,,,44990000,800000,1700000,42490000
Cupra,Formentor,Nacido para Desafiar.,liviano,SUV,SÍ,Formentor VZ 2.0 TSI AT 4Drive | Pintura Mate + Llantas Cobre,2.0 TSI,Gasolina,DCT / DSG,333 HP,420 Nm,AWD,9.5 km/l,,,,,47990000,800000,1700000,45490000
Cupra,Formentor,Nacido para Desafiar.,liviano,SUV,SÍ,Formentor VZ Black Rebel 2.0 TSI AT 4Drive,2.0 TSI,Gasolina,DCT / DSG,333 HP,420 Nm,AWD,9.5 km/l,,,,,47990000,800000,1700000,45490000
Cupra,Formentor e-Hybrid,Forget about refuelling,liviano,"SUV, Plug-in Hybrid",SÍ,Formentor 1.5 TSI e-Hybrid,1.5 TSI e-Hybrid,Plug-in Hybrid,DCT / DSG,204 HP,350 Nm,4x2,17.8 km/l,126 km,,,10,40990000,1500000,4000000,35490000
Cupra,León,Despierta tus sentidos,liviano,"Hatchback, Híbrido",SÍ,Cupra Leon 1.5 TSI mHEV AT | Colores Cat A,1.5 TSI mHEV,Híbrido,DCT / DSG,150 HP,250 Nm,4x2,14.5 km/l,,,,,31490000,1000000,2500000,27990000
