Marca,Modelo,Version,Precio Lista,Bono Marca,Bono Financiamiento,Precio Financiamiento,Tipo,Categoria,Incluye IVA,Motor CC,Combustible,Transmision,Airbags,Traccion,Rendimiento Mixto,Autonomia KM,Potencia Hp,Torque Nm
Toyota,Fortuner,SR5 4x4 MT TDI 2.8L Diesel,"$42,890,000","$1,800,000","$1,300,000","$39,790,000",liviano,SUV,SÍ,2.8L,Diésel,Mecánica,7,4x4,"13,8 km/l",-,201 HP,420 Nm
Toyota,Fortuner GR-S,4x4 2.8 AT,"$52,890,000",$0,"$600,000","$52,290,000",liviano,"SUV, Gazoo Racing",SÍ,2.8L,Diésel,Automática,7,4x4,"9,1 km/l",-,221 HP,550 Nm
Toyota,Fortuner GR-S,4x4 2.8 AT,"$53,090,000",$0,"$600,000","$52,490,000",liviano,"SUV, Gazoo Racing",SÍ,2.8L,Diésel,Automática,7,4x4,"9,1 km/l",-,221 HP,550 Nm
Toyota,Hilux,4x2 2.4 MT DX Euro VI,"$33,990,000",$0,"$500,000","$33,490,000",liviano,Pick-Up,SÍ,2.4L,Diésel,Mecánica,7,4x2,"13,2 km/l",-,148 HP,400 Nm
Toyota,Hilux,4x2 2.4 MT DX Euro VI TSS,"$35,790,000",$0,$0,"$35,790,000",liviano,Pick-Up,SÍ,2.4L,Diésel,Mecánica,7,4x2,"13,2 km/l",-,148 HP,400 Nm
Toyota,Hilux,4X2 2.4 MT SR Euro VI,"$34,790,000","$1,400,000","$300,000","$33,090,000",liviano,Pick-Up,SÍ,2.4L,Diésel,Mecánica,7,4x2,"13,2 km/l",-,148 HP,400 Nm
Toyota,Hilux,4x4 2.4 MT DX Euro VI,"$38,690,000","$1,000,000","$500,000","$37,190,000",liviano,Pick-Up,SÍ,2.4L,Diésel,Mecánica,7,4x4,"13,2 km/l",-,148 HP,400 Nm
Toyota,Hilux,4x4 2.4 MT DX Euro VI TSS,"$40,490,000",$0,$0,"$40,490,000",liviano,Pick-Up,SÍ,2.4L,Diésel,Mecánica,7,4x4,"13,2 km/l",-,148 HP,400 Nm
Toyota,Hilux,4x4 2.4 MT SR Euro VI,"$41,290,000","$1,000,000","$300,000","$39,990,000",liviano,Pick-Up,SÍ,2.4L,Diésel,Mecánica,7,4x4,"13,2 km/l",-,148 HP,400 Nm
Toyota,Hilux,4X4 2.8 MT SR Euro VI,"$45,290,000",$0,"$500,000","$44,790,000",liviano,Pick-Up,SÍ,2.8L,Diésel,Mecánica,7,4x4,"12,9 km/l",-,201 HP,420 Nm
Toyota,Hilux,4X4 2.8 AT SRV Euro VI,"$48,590,000","$1,000,000","$800,000","$46,790,000",liviano,Pick-Up,SÍ,2.8L,Diésel,Automática,7,4x4,"12,0 km/l",-,201 HP,500 Nm
